step,residual,mass
292,1.2659737697818766e-03,1.4857183547876923e-05
293,1.2615162002774501e-03,1.5002983215783771e-05
294,1.2570905395060529e-03,1.5149301125156416e-05
295,1.2526964495035639e-03,1.5296133303559523e-05
296,1.2483335969794940e-03,1.5443475790245199e-05
297,1.2440016532375873e-03,1.5591324636519036e-05
298,1.2397002940970183e-03,1.5739675905869996e-05
299,1.2354291998157615e-03,1.5888525674401680e-05
300,1.2311880550155321e-03,1.6037870030823453e-05
301,1.2269765486077589e-03,1.6187705076921296e-05
302,1.2227943737218060e-03,1.6338026927785392e-05
303,1.2186412276338670e-03,1.6488831711892325e-05
304,1.2145168116980153e-03,1.6640115571348380e-05
305,1.2104208312780078e-03,1.6791874662288831e-05
306,1.2063529956810469e-03,1.6944105154885866e-05
307,1.2023130180922048e-03,1.7096803233663400e-05
308,1.1983006155108227e-03,1.7249965097530308e-05
309,1.1943155086876075e-03,1.7403586960178689e-05
310,1.1903574220633348e-03,1.7557665050153272e-05
311,1.1864260837087378e-03,1.7712195610987172e-05
312,1.1825212252652294e-03,1.7867174901395030e-05
313,1.1786425818870658e-03,1.8022599195546358e-05
314,1.1747898921849269e-03,1.8178464783038606e-05
315,1.1709628981696571e-03,1.8334767969122744e-05
316,1.1671613451983268e-03,1.8491505074963603e-05
317,1.1633849819201942e-03,1.8648672437459910e-05
318,1.1596335602245727e-03,1.8806266409730711e-05
319,1.1559068351889902e-03,1.8964283361181819e-05
320,1.1522045650290030e-03,1.9122719677273058e-05
321,1.1485265110484093e-03,1.9281571760070889e-05
322,1.1448724375907071e-03,1.9440836028124632e-05
323,1.1412421119914118e-03,1.9600508916715656e-05
324,1.1376353045312705e-03,1.9760586877700771e-05
325,1.1340517883902245e-03,1.9921066379891829e-05
326,1.1304913396024258e-03,2.0081943909009297e-05
327,1.1269537370120440e-03,2.0243215967837580e-05
328,1.1234387622298045e-03,2.0404879076161304e-05
329,1.1199461995903093e-03,2.0566929770892160e-05
330,1.1164758361103518e-03,2.0729364606350951e-05
331,1.1130274614477703e-03,2.0892180154108600e-05
332,1.1096008678612359e-03,2.1055373003034744e-05
333,1.1061958501706699e-03,2.1218939759549004e-05
334,1.1028122057181607e-03,2.1382877047471665e-05
335,1.0994497343301856e-03,2.1547181508161849e-05
336,1.0961082382800729e-03,2.1711849800691648e-05
337,1.0927875222510469e-03,2.1876878601636105e-05
338,1.0894873933002087e-03,2.2042264605347907e-05
339,1.0862076608230838e-03,2.2208004523786552e-05
340,1.0829481365189305e-03,2.2374095086792304e-05
341,1.0797086343562303e-03,2.2540533041888831e-05
342,1.0764889705393000e-03,2.2707315154468136e-05
343,1.0732889634751581e-03,2.2874438207748118e-05
344,1.0701084337412278e-03,2.3041899002724435e-05
345,1.0669472040534308e-03,2.3209694358465515e-05
346,1.0638050992347354e-03,2.3377821111583495e-05
347,1.0606819461845792e-03,2.3546276117015619e-05
348,1.0575775738485864e-03,2.3715056247277343e-05
349,1.0544918131889906e-03,2.3884158392977909e-05
350,1.0514244971550886e-03,2.4053579462599772e-05
351,1.0483754606551159e-03,2.4223316382468155e-05
352,1.0453445405275502e-03,2.4393366097036897e-05
353,1.0423315755137073e-03,2.4563725568478280e-05
354,1.0393364062304732e-03,2.4734391776985850e-05
355,1.0363588751434122e-03,2.4905361720569885e-05
356,1.0333988265406387e-03,2.5076632415291889e-05
357,1.0304561065067885e-03,2.5248200894887798e-05
358,1.0275305628978674e-03,2.5420064211202050e-05
359,1.0246220453156765e-03,2.5592219433634354e-05
360,1.0217304050840058e-03,2.5764663649738289e-05
361,1.0188554952240384e-03,2.5937393964602687e-05
362,1.0159971704303934e-03,2.6110407501228686e-05
363,1.0131552870483215e-03,2.6283701400521575e-05
364,1.0103297030501918e-03,2.6457272820769666e-05
365,1.0075202780131358e-03,2.6631118938190341e-05
366,1.0047268730971656e-03,2.6805236946750162e-05
367,1.0019493510223839e-03,2.6979624057886276e-05
368,9.9918757604851023e-04,2.7154277500681686e-05
369,9.9644141395312030e-04,2.7329194521804635e-05
370,9.9371073201110871e-04,2.7504372385566830e-05
371,9.9099539897398031e-04,2.7679808373575917e-05
372,9.8829528505009132e-04,2.7855499785177535e-05
373,9.8561026188442218e-04,2.8031443936672816e-05
374,9.8294020253950043e-04,2.8207638162130022e-05
375,9.8028498147581761e-04,2.8384079812917151e-05
376,9.7764447453344287e-04,2.8560766257429762e-05
377,9.7501855891294470e-04,2.8737694881514958e-05
378,9.7240711315762618e-04,2.8914863088159788e-05
379,9.6981001713509953e-04,2.9092268297411274e-05
380,9.6722715201997406e-04,2.9269907946439926e-05
381,9.6465840027624376e-04,2.9447779489545645e-05
382,9.6210364564012249e-04,2.9625880397745827e-05
383,9.5956277310337782e-04,2.9804208159238108e-05
384,9.5703566889658229e-04,2.9982760278966602e-05
385,9.5452222047272847e-04,3.0161534278783505e-05
386,9.5202231649127954e-04,3.0340527697138757e-05
387,9.4953584680237979e-04,3.0519738089317221e-05
388,9.4706270243104837e-04,3.0699163027078659e-05
389,9.4460277556209058e-04,3.0878800099021357e-05
390,9.4215595952462704e-04,3.1058646909895782e-05
391,9.3972214877783666e-04,3.1238701081234911e-05
392,9.3730123889556997e-04,3.1418960250926513e-05
393,9.3489312655254818e-04,3.1599422072908742e-05
394,9.3249770950985334e-04,3.1780084217675826e-05
395,9.3011488660087118e-04,3.1960944371707861e-05
396,9.2774455771784520e-04,3.2142000237759639e-05
397,9.2538662379808886e-04,3.2323249534739614e-05
398,9.2304098681055945e-04,3.2504689997228115e-05
399,9.2070754974294755e-04,3.2686319376142461e-05
400,9.1838621658862029e-04,3.2868135437959165e-05
401,9.1607689233366046e-04,3.3050135965015976e-05
402,9.1377948294466536e-04,3.3232318755530065e-05
403,9.1149389535610033e-04,3.3414681623174958e-05
404,9.0922003745818290e-04,3.3597222397336492e-05
405,9.0695781808491829e-04,3.3779938922935098e-05
406,9.0470714700207114e-04,3.3962829060195439e-05
407,9.0246793489588196e-04,3.4145890684858271e-05
408,9.0024009336114516e-04,3.4329121687977955e-05
409,8.9802353489023862e-04,3.4512519975731646e-05
410,8.9581817286173799e-04,3.4696083469512438e-05
411,8.9362392152955706e-04,3.4879810105837124e-05
412,8.9144069601210490e-04,3.5063697836225281e-05
413,8.8926841228157631e-04,3.5247744626986647e-05
414,8.8710698715346089e-04,3.5431948459661091e-05
415,8.8495633827620208e-04,3.5616307330090094e-05
416,8.8281638412094807e-04,3.5800819249293902e-05
417,8.8068704397152673e-04,3.5985482242653527e-05
418,8.7856823791450541e-04,3.6170294350216904e-05
419,8.7645988682940798e-04,3.6355253626564080e-05
420,8.7436191237920847e-04,3.6540358140589863e-05
421,8.7227423700046919e-04,3.6725605975645359e-05
422,8.7019678389451370e-04,3.6910995229307505e-05
423,8.6812947701783965e-04,3.7096524013386914e-05
424,8.6607224107295886e-04,3.7282190453650334e-05
425,8.6402500149979772e-04,3.7467992690222462e-05
426,8.6198768446648050e-04,3.7653928876862322e-05
427,8.5996021686083929e-04,3.7839997181431186e-05
428,8.5794252628179873e-04,3.8026195785427778e-05
429,8.5593454103083920e-04,3.8212522884506810e-05
430,8.5393619010357103e-04,3.8398976687498720e-05
431,8.5194740318175874e-04,3.8585555417002732e-05
432,8.4996811062494810e-04,3.8772257309153667e-05
433,8.4799824346261615e-04,3.8959080613667499e-05
434,8.4603773338616322e-04,3.9146023593317303e-05
435,8.4408651274123453e-04,3.9333084524421212e-05
436,8.4214451451996046e-04,3.9520261696332994e-05
437,8.4021167235341914e-04,3.9707553411673026e-05
438,8.3828792050421068e-04,3.9894957986017826e-05
439,8.3637319385895705e-04,4.0082473748055163e-05
440,8.3446742792128443e-04,4.0270099039254031e-05
441,8.3257055880440870e-04,4.0457832213846117e-05
442,8.3068252322411260e-04,4.0645671639088876e-05
443,8.2880325849197926e-04,4.0833615694718577e-05
444,8.2693270250833748e-04,4.1021662773009345e-05
445,8.2507079375546675e-04,4.1209811278999612e-05
446,8.2321747129096275e-04,4.1398059630000047e-05
447,8.2137267474124986e-04,4.1586406255741556e-05
448,8.1953634429481894e-04,4.1774849598246217e-05
449,8.1770842069601416e-04,4.1963388111842196e-05
450,8.1588884523868684e-04,4.2152020262934030e-05
451,8.1407755975982895e-04,4.2340744530048417e-05
452,8.1227450663343115e-04,4.2529559403640271e-05
453,8.1047962876459900e-04,4.2718463386199705e-05
454,8.0869286958317930e-04,4.2907454991962558e-05
455,8.0691417303824665e-04,4.3096532747089440e-05
456,8.0514348359196186e-04,4.3285695189245617e-05
457,8.0338074621378013e-04,4.3474940867946308e-05
458,8.0162590637523044e-04,4.3664268344178096e-05
459,7.9987891004360142e-04,4.3853676190370171e-05
460,7.9813970367698041e-04,4.4043162990430341e-05
461,7.9640823421840733e-04,4.4232727339548615e-05
462,7.9468444909081991e-04,4.4422367844331759e-05
463,7.9296829619130956e-04,4.4612083122357432e-05
464,7.9125972388623643e-04,4.4801871802506956e-05
465,7.8955868100589067e-04,4.4991732524674135e-05
466,7.8786511683932067e-04,4.5181663939691657e-05
467,7.8617898112946175e-04,4.5371664709298180e-05
468,7.8450022406781838e-04,4.5561733506169432e-05
469,7.8282879628992230e-04,4.5751869013600117e-05
470,7.8116464887024659e-04,4.5942069925721180e-05
471,7.7950773331741366e-04,4.6132334947264387e-05
472,7.7785800156955208e-04,4.6322662793438366e-05
473,7.7621540598957098e-04,4.6513052190044990e-05
474,7.7457989936047396e-04,4.6703501873142752e-05
475,7.7295143488098530e-04,4.6894010589391691e-05
476,7.7132996616089224e-04,4.7084577095549210e-05
477,7.6971544721658313e-04,4.7275200158528075e-05
478,7.6810783246678428e-04,4.7465878555594527e-05
479,7.6650707672825053e-04,4.7656611073861866e-05
480,7.6491313521132183e-04,4.7847396510659136e-05
481,7.6332596351586554e-04,4.8038233673070026e-05
482,7.6174551762693684e-04,4.8229121378208979e-05
483,7.6017175391087895e-04,4.8420058452890295e-05
484,7.5860462911114845e-04,4.8611043733644425e-05
485,7.5704410034416821e-04,4.8802076066769255e-05
486,7.5549012509582329e-04,4.8993154308079962e-05
487,7.5394266121674874e-04,4.9184277322975675e-05
488,7.5240166691945877e-04,4.9375443986337950e-05
489,7.5086710077362068e-04,4.9566653182415727e-05
490,7.4933892170293923e-04,4.9757903804811087e-05
491,7.4781708898104672e-04,4.9949194756436095e-05
492,7.4630156222802607e-04,5.0140524949375863e-05
493,7.4479230140667965e-04,5.0331893304862593e-05
494,7.4328926681901562e-04,5.0523298753323198e-05
495,7.4179241910266795e-04,5.0714740233932001e-05
496,7.4030171922740123e-04,5.0906216695143888e-05
497,7.3881712849167120e-04,5.1097727094095858e-05
498,7.3733860851913941e-04,5.1289270396817238e-05
499,7.3586612125546959e-04,5.1480845578170134e-05
500,7.3439962896485844e-04,5.1672451621592062e-05
501,7.3293909422672890e-04,5.1864087519347452e-05
502,7.3148447993253340e-04,5.2055752272139400e-05
503,7.3003574928271375e-04,5.2247444889108019e-05
504,7.2859286578304272e-04,5.2439164388170249e-05
505,7.2715579324221936e-04,5.2630909795443812e-05
506,7.2572449576798479e-04,5.2822680145225029e-05
507,7.2429893776465690e-04,5.3014474480472386e-05
508,7.2287908392990497e-04,5.3206291852029711e-05
509,7.2146489925158780e-04,5.3398131319154802e-05
510,7.2005634900519069e-04,5.3589991949026782e-05
511,7.1865339875057355e-04,5.3781872816955618e-05
512,7.1725601432927235e-04,5.3973773006217006e-05
513,7.1586416186149012e-04,5.4165691608061742e-05
514,7.1447780774358961e-04,5.4357627721509132e-05
515,7.1309691864488410e-04,5.4549580453593762e-05
516,7.1172146150539435e-04,5.4741548918855719e-05
517,7.1035140353260318e-04,5.4933532239687155e-05
518,7.0898671219928847e-04,5.5125529546141080e-05
519,7.0762735524041798e-04,5.5317539975807455e-05
520,7.0627330065096657e-04,5.5509562673817268e-05
521,7.0492451668286327e-04,5.5701596792774508e-05
522,7.0358097184296546e-04,5.5893641492718241e-05
523,7.0224263488997084e-04,5.6085695941062011e-05
524,7.0090947483242858e-04,5.6277759312541042e-05
525,6.9958146092583429e-04,5.6469830789079625e-05
526,6.9825856267064553e-04,5.6661909560046236e-05
527,6.9694074980937069e-04,5.6853994821556207e-05
528,6.9562799232463586e-04,5.7046085777224850e-05
529,6.9432026043652131e-04,5.7238181637538279e-05
530,6.9301752460046656e-04,5.7430281619867452e-05
531,6.9171975550468034e-04,5.7622384948746366e-05
532,6.9042692406817599e-04,5.7814490855410651e-05
533,6.8913900143838377e-04,5.8006598578227003e-05
534,6.8785595898891228e-04,5.8198707361915360e-05
