step,residual,mass
186,2.0872853966562828e-03,2.8845676120614172e-06
187,2.0763271233016703e-03,2.9508218329780425e-06
188,2.0654861372666816e-03,3.0179259450499592e-06
189,2.0547605670095058e-03,3.0858794514298151e-06
190,2.0441485807043743e-03,3.1546817528731367e-06
191,2.0336483851864412e-03,3.2243321496913100e-06
192,2.0232582249301162e-03,3.2948298437337234e-06
193,2.0129763810597967e-03,3.3661739403561718e-06
194,2.0028011703917777e-03,3.4383634503428990e-06
195,1.9927309445061381e-03,3.5113972918529367e-06
196,1.9827640888473688e-03,3.5852742923713275e-06
197,1.9728990218533205e-03,3.6599931905392099e-06
198,1.9631341941103355e-03,3.7355526380925733e-06
199,1.9534680875350455e-03,3.8119512016788910e-06
200,1.9438992145805320e-03,3.8891873648494295e-06
201,1.9344261174669697e-03,3.9672595297029274e-06
202,1.9250473674354133e-03,4.0461660188281192e-06
203,1.9157615640238860e-03,4.1259050770466201e-06
204,1.9065673343654213e-03,4.2064748732467654e-06
205,1.8974633325066735e-03,4.2878735021134548e-06
206,1.8884482387470768e-03,4.3700989858280576e-06
207,1.8795207589970590e-03,4.4531492758148693e-06
208,1.8706796241555444e-03,4.5370222545789093e-06
209,1.8619235895052254e-03,4.6217157371668892e-06
210,1.8532514341257043e-03,4.7072274729232559e-06
211,1.8446619603235033e-03,4.7935551472458142e-06
212,1.8361539930783644e-03,4.8806963829862474e-06
213,1.8277263795055368e-03,4.9686487422149526e-06
214,1.8193779883334603e-03,5.0574097277764339e-06
215,1.8111077093961015e-03,5.1469767847713790e-06
216,1.8029144531396396e-03,5.2373473022230988e-06
217,1.7947971501431331e-03,5.3285186144407331e-06
218,1.7867547506526060e-03,5.4204880026092322e-06
219,1.7787862241278468e-03,5.5132526963353197e-06
220,1.7708905588021109e-03,5.6068098748520070e-06
221,1.7630667612537382e-03,5.7011566688000011e-06
222,1.7553138559896590e-03,5.7962901612682707e-06
223,1.7476308850400625e-03,5.8922073895485696e-06
224,1.7400169075644900e-03,5.9889053461766827e-06
225,1.7324709994681888e-03,6.0863809805094750e-06
226,1.7249922530290323e-03,6.1846311999818021e-06
227,1.7175797765344113e-03,6.2836528713600715e-06
228,1.7102326939276815e-03,6.3834428220979876e-06
229,1.7029501444644044e-03,6.4839978416348378e-06
230,1.6957312823771445e-03,6.5853146824472901e-06
231,1.6885752765495260e-03,6.6873900615957411e-06
232,1.6814813101986412e-03,6.7902206615825021e-06
233,1.6744485805658370e-03,6.8938031318399750e-06
234,1.6674762986154375e-03,6.9981340896749864e-06
235,1.6605636887414804e-03,7.1032101215421271e-06
236,1.6537099884816350e-03,7.2090277841095484e-06
237,1.6469144482389331e-03,7.3155836054125368e-06
238,1.6401763310101697e-03,7.4228740858739241e-06
239,1.6334949121215362e-03,7.5308956994781687e-06
240,1.6268694789707222e-03,7.6396448947015314e-06
241,1.6202993307757047e-03,7.7491180956331531e-06
242,1.6137837783296721e-03,7.8593117029109413e-06
243,1.6073221437622083e-03,7.9702220948296318e-06
244,1.6009137603063312e-03,8.0818456282008885e-06
245,1.5945579720713168e-03,8.1941786393765641e-06
246,1.5882541338212606e-03,8.3072174451610781e-06
247,1.5820016107587975e-03,8.4209583437491953e-06
248,1.5757997783144139e-03,8.5353976156383198e-06
249,1.5696480219407269e-03,8.6505315244772523e-06
250,1.5635457369117505e-03,8.7663563180316246e-06
251,1.5574923281270576e-03,8.8828682289289076e-06
252,1.5514872099206436e-03,9.0000634755262711e-06
253,1.5455298058744227e-03,9.1179382627883163e-06
254,1.5396195486359772e-03,9.2364887830183841e-06
255,1.5337558797409189e-03,9.3557112167296961e-06
256,1.5279382494391700e-03,9.4756017333314141e-06
257,1.5221661165256131e-03,9.5961564919648344e-06
258,1.5164389481744228e-03,9.7173716421804804e-06
259,1.5107562197775029e-03,9.8392433247094398e-06
260,1.5051174147865578e-03,9.9617676721590208e-06
261,1.4995220245589082e-03,1.0084940809750106e-05
262,1.4939695482067213e-03,1.0208758855912038e-05
263,1.4884594924499059e-03,1.0333217923040520e-05
264,1.4829913714722196e-03,1.0458314118105417e-05
265,1.4775647067806089e-03,1.0584043543328650e-05
266,1.4721790270680575e-03,1.0710402296749899e-05
267,1.4668338680790662e-03,1.0837386472949127e-05
268,1.4615287724786446e-03,1.0964992163511796e-05
269,1.4562632897237751e-03,1.1093215457669733e-05
270,1.4510369759381813e-03,1.1222052442981959e-05
271,1.4458493937896172e-03,1.1351499205692488e-05
272,1.4407001123698125e-03,1.1481551831471383e-05
273,1.4355887070774823e-03,1.1612206405858474e-05
274,1.4305147595033499e-03,1.1743459014767890e-05
275,1.4254778573180649e-03,1.1875305745049567e-05
276,1.4204775941625346e-03,1.2007742685001084e-05
277,1.4155135695405503e-03,1.2140765924777985e-05
278,1.4105853887136006e-03,1.2274371556967039e-05
279,1.4056926625983352e-03,1.2408555677005647e-05
